date,revenue,dayofweek,month,quarter,year,is_weekend,day,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7
2022-01-31,2310.5,0,1,1,2022,0,31,1544.0,1693.5,1642.5,1701.7857142857142,1810.9642857142858,1686.7,578.6884493650891
2022-02-01,1413.5,1,2,1,2022,0,1,1174.5,1965.5,1135.5,1811.2857142857142,1855.0357142857142,1708.9666666666667,615.2217660555998
2022-02-02,2251.5,2,2,1,2022,0,2,2808.0,1759.5,823.0,1845.4285714285713,1815.607142857143,1718.2333333333333,579.5924163130663
2022-02-03,1137.5,3,2,1,2022,0,3,1135.0,1694.0,1117.5,1765.9285714285713,1850.75,1765.85,449.0123818422148
2022-02-04,1563.5,4,2,1,2022,0,4,2063.0,2375.5,2227.5,1766.2857142857142,1811.0,1766.5166666666667,448.4275171030854
2022-02-05,509.5,5,2,1,2022,1,5,1656.0,1545.0,763.5,1694.9285714285713,1753.0,1744.3833333333334,432.8131263963147
2022-02-06,1624.0,6,2,1,2022,1,6,1532.0,2408.0,1372.5,1531.142857142857,1679.0357142857142,1735.9166666666667,624.4875708855031
2022-02-07,1883.5,0,2,1,2022,0,7,2310.5,1544.0,1496.5,1544.2857142857142,1623.0357142857142,1744.3,625.4759425924428
2022-02-08,1084.0,1,2,1,2022,0,8,1413.5,1174.5,1866.0,1483.2857142857142,1647.2857142857142,1757.2,555.1660305067049
2022-02-09,1732.0,2,2,1,2022,0,9,2251.5,2808.0,1340.5,1436.2142857142858,1640.8214285714287,1731.1333333333334,575.6597560728951
2022-02-10,934.5,3,2,1,2022,0,10,1137.5,1135.0,2056.0,1362.0,1563.9642857142858,1744.1833333333334,478.2866992366264
2022-02-11,1166.0,4,2,1,2022,0,11,1563.5,2063.0,1434.5,1333.0,1549.642857142857,1706.8,499.83630653778425
2022-02-12,2614.0,5,2,1,2022,1,12,509.5,1656.0,2476.5,1276.2142857142858,1485.5714285714287,1697.85,491.8001675090253
2022-02-13,1688.5,6,2,1,2022,1,13,1624.0,1532.0,2704.5,1576.857142857143,1554.0,1702.4333333333334,580.2759913958841
2022-02-14,2579.0,0,2,1,2022,0,14,1883.5,2310.5,1522.0,1586.0714285714287,1565.1785714285713,1668.5666666666666,581.6597966574784
2022-02-15,1796.5,1,2,1,2022,0,15,1084.0,1413.5,1269.0,1685.4285714285713,1584.357142857143,1703.8,690.2063959770431
2022-02-16,602.0,2,2,1,2022,0,16,1732.0,2251.5,1693.5,1787.2142857142858,1611.7142857142858,1721.3833333333334,637.2345759309553
2022-02-17,1980.5,3,2,1,2022,0,17,934.5,1137.5,1965.5,1625.7857142857142,1493.892857142857,1685.0,780.5636242027753
2022-02-18,2634.5,4,2,1,2022,0,18,1166.0,1563.5,1759.5,1775.2142857142858,1554.107142857143,1685.5,724.2607068097586
2022-02-19,1264.0,5,2,1,2022,1,19,2614.0,509.5,1694.0,1985.0,1630.607142857143,1714.6666666666667,731.0359088307491
2022-02-20,1682.5,6,2,1,2022,1,20,1688.5,1624.0,2375.5,1792.142857142857,1684.5,1700.3333333333333,715.3465194275726
2022-02-21,978.5,0,2,1,2022,0,21,2579.0,1883.5,1545.0,1791.2857142857142,1688.6785714285713,1677.2333333333333,715.4949835104165
2022-02-22,1577.5,1,2,1,2022,0,22,1796.5,1084.0,2408.0,1562.642857142857,1624.0357142857142,1658.35,676.4838452299825
2022-02-23,1844.0,2,2,1,2022,0,23,602.0,1732.0,1544.0,1531.357142857143,1659.2857142857142,1630.6666666666667,668.8874291367293
2022-02-24,1388.5,3,2,1,2022,0,24,1980.5,934.5,1174.5,1708.7857142857142,1667.2857142857142,1640.6666666666667,531.9988923189328
2022-02-25,672.0,4,2,1,2022,0,25,2634.5,1166.0,2808.0,1624.2142857142858,1699.7142857142858,1647.8,528.6499989866372
2022-02-26,519.0,5,2,1,2022,1,26,1264.0,2614.0,1135.0,1343.857142857143,1664.4285714285713,1576.6,410.82414265775185
2022-02-27,1777.5,6,2,1,2022,1,27,1682.5,1688.5,2063.0,1237.4285714285713,1514.7857142857142,1556.0666666666666,517.5876277317235
2022-02-28,2427.5,0,2,1,2022,0,28,978.5,2579.0,1656.0,1251.0,1521.142857142857,1546.55,532.2407036921054
2022-03-01,2257.0,1,3,1,2022,0,1,1577.5,1796.5,1532.0,1458.0,1510.3214285714287,1572.2666666666667,672.0161208383822
2022-03-02,2791.5,2,3,1,2022,0,2,1844.0,602.0,2310.5,1555.0714285714287,1543.2142857142858,1596.4333333333334,737.9921763683899
2022-03-03,1192.0,3,3,1,2022,0,3,1388.5,1980.5,1413.5,1690.4285714285713,1699.607142857143,1612.4666666666667,874.1490828500703
2022-03-04,1299.5,4,3,1,2022,0,4,672.0,2634.5,2251.5,1662.357142857143,1643.2857142857142,1605.0833333333333,888.4981576742161
2022-03-05,1481.5,5,3,1,2022,1,5,519.0,1264.0,1137.5,1752.0,1547.9285714285713,1573.35,799.0808261162739
